A,B,C,D,E,F
2,41.97,31,105.56,0.829038,0.559192
35,273.44,19,57.37,-97.437,-22.4951
16,140.36,1,-14.67,62.2556,43.5918
25,203.13,10,21.43,29.7991,8.54475
35,273.08,34,117.56,-43.6109,-28.3212
19,161.28,0,-18.53,-15.7432,-8.72657
10,98.06,1,-14.54,-35.4785,-92.4244
39,301.14,5,1.17,-76.8566,-55.8396
22,182.07,9,17.5,-2.29431,-3.27661
24,196.4,24,77.35,24.6161,57.9918
18,153.99,35,121.48,-39.9694,-55.0131
25,203.19,18,53.35,39.8775,18.5952
4,56.2,29,97.46,-82.7239,-14.5864
30,238.55,17,49.08,-23.2849,-28.7544
4,56.05,29,97.05,-70.7666,-21.6355
12,112.54,14,37.17,-50.4554,-12.5799
29,231.02,1,-14.63,-18.5786,-16.7283
12,111.97,33,113.38,-8.89919,-6.46563
28,224.09,39,137.23,34.6594,4.87106
24,196.16,23,73.3,26.8521,2.82227
38,294.49,38,133.49,19.2581,25.5563
11,105.3,15,41.02,-27.2514,-61.2075
14,126.34,3,-6.56,35.4785,92.4244
8,84.44,28,93.37,-27.2001,-22.0262
15,133.06,23,73.55,65.4049,51.0999
31,245.18,35,121.27,43.6633,10.8865
20,168.46,24,77.13,-67.0668,-31.2737
39,300.97,7,9.51,15.0942,13.1212
38,294.25,26,85.04,-19.2252,-5.51274
23,189.12,21,65.03,-46.057,-83.0888
29,231.14,9,17.53,-0.777146,-0.62932
15,133.56,15,41.17,-29.6602,-14.4662
10,98.35,34,117.54,62.9726,34.9063
16,140.2,34,117.19,14.3649,39.4671
13,119.42,10,21.43,-45.7454,-17.56
22,182.5,5,1.48,-50.3721,-7.97815
26,210.34,15,41.5,60.6769,47.4059
35,273.36,13,32.98,-23.4033,-21.8239
15,133.41,21,65.46,-41.3664,-34.7105
36,280.29,0,-18.96,51.211,27.2293
15,132.98,36,124.97,-94.2362,-18.3176
36,280.47,15,41.08,-83.3739,-10.237
6,70,3,-7.03,30.565,31.6509
38,294.16,28,93.28,-18.6716,-7.16735
6,70.14,38,133.35,4.41021,15.3802
1,35,2,-10.45,47.1991,58.2859
36,280.28,29,97.08,-24.426,-29.1097
35,273.26,8,13.15,18.7111,9.53379
21,175.48,23,73.26,-16.7125,-19.9171
36,279.97,4,-2.57,9.06308,4.22618
15,133.48,35,121.46,3.80357,8.15677
16,140.54,21,65.02,-68.5734,-41.203
10,98.52,25,81.15,-24.9695,-49.0053
2,42.04,9,17.42,7.92214,1.11338
32,252.13,35,121.14,-33.176,-91.1502
29,231.47,8,13.22,-77.2741,-20.7055
35,273.13,7,9.54,31.8962,42.3277
13,119.2,35,121.27,18.4534,27.3582
8,84.52,20,61.46,-62.5943,-26.5697
4,56.21,25,81.08,-61.5183,-61.5183
8,84.2,22,69.13,41.9818,23.2708
6,70.4,22,69.31,-26.3114,-9.57656
34,266.54,10,21.26,82.7419,26.8845
22,182.04,30,101.19,-47.2363,-54.3391
3,49.41,39,137.17,71.7229,21.9279
0,28.4,7,9.11,-38.5673,-45.9626
9,91.23,11,25.08,-87.1436,-12.2472
39,301.15,33,113.46,-71.2805,-36.3192
25,203.51,32,109.32,55.637,79.4577
30,238.49,5,1.18,-7.94037,-0.974954
25,203.01,36,125.5,-40.9235,-9.44794
20,168.16,26,85.48,-52.0721,-23.184
27,217.39,29,97.17,22.3168,5.5642
32,252.05,36,125.13,-35.9623,-89.0096
37,287.23,25,81.31,-7.64122,-10.5172
38,294.09,33,113.51,32.6691,17.3704
22,182.55,15,41.06,0.838671,0.544639
0,28.45,12,29.18,78.7846,13.8918
23,189.42,4,-2.44,78.24,20.9643
12,112.27,26,85.46,-42.8244,-47.5612
10,98.12,17,49.32,-23.7474,-19.9264
38,294.21,25,81.1,-17.9063,-52.0035
23,189.54,15,41.12,-0.618036,-1.90211
11,104.98,32,109.44,28.6695,74.6864
7,77.21,24,77.02,-14.9178,-1.56793
10,98.12,8,13.16,52.0202,46.8391
6,69.98,33,113.28,-68.7473,-64.1078
38,294.27,35,121.42,-36.3608,-65.5964
32,252.05,7,9.14,67.1752,67.1751
31,245.31,4,-2.96,29.6455,9.06351
20,168.38,9,17.25,-66.5006,-8.16524
18,154.16,13,33.28,42.2809,28.5188
2,41.98,9,17.26,28.3205,36.2485
35,273.47,15,41,24.9062,39.8582
